timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
20900,17.51,20.81,6.44,0.78,0.67,0.28,0.08
21000,17.51,20.81,6.44,0.78,0.68,0.28,0.08
21100,18.04,21.63,6.66,0.78,0.68,0.28,0.08
21200,17.51,20.81,6.44,0.78,0.68,0.28,0.08
21300,18.04,21.63,6.66,0.78,0.68,0.28,0.08
21400,16.99,20.00,6.23,0.78,0.68,0.28,0.08
21500,16.99,20.00,6.23,0.78,0.68,0.28,0.08
21600,18.57,22.46,6.88,0.78,0.68,0.28,0.08
21700,18.04,21.63,6.66,0.78,0.68,0.28,0.08
21800,18.04,21.63,6.66,0.78,0.68,0.28,0.08
21900,18.57,22.46,6.88,0.78,0.68,0.28,0.08
22000,17.51,20.81,6.44,0.78,0.68,0.28,0.08
22100,18.04,21.63,6.66,0.78,0.67,0.28,0.08
22200,17.51,20.81,6.44,0.78,0.68,0.28,0.08
22300,18.04,21.63,6.66,0.78,0.68,0.28,0.08
22400,18.57,22.46,6.88,0.78,0.68,0.28,0.08
22500,18.04,21.63,6.66,0.78,0.68,0.28,0.08
22600,17.51,20.81,6.44,0.78,0.68,0.28,0.08
22700,18.04,21.63,6.66,0.78,0.68,0.28,0.08
22800,18.57,22.46,6.88,0.78,0.68,0.28,0.08
22900,18.04,21.63,6.66,0.78,0.68,0.28,0.08
23000,18.04,21.63,6.66,0.78,0.68,0.29,0.08
23100,18.04,21.63,6.66,0.78,0.68,0.29,0.08
23200,18.57,22.46,6.88,0.78,0.68,0.29,0.08
23300,18.04,21.63,6.66,0.78,0.68,0.29,0.08
23400,17.51,20.81,6.44,0.78,0.68,0.29,0.08
23500,18.04,21.63,6.66,0.78,0.68,0.29,0.08
23600,18.04,21.63,6.66,0.78,0.68,0.29,0.08
23700,18.57,22.46,6.88,0.78,0.68,0.29,0.08
23800,18.57,22.46,6.88,0.78,0.68,0.29,0.08
23900,18.04,21.63,6.66,0.78,0.68,0.29,0.08
24000,16.99,20.00,6.23,0.78,0.68,0.29,0.08
24100,18.57,22.46,6.88,0.78,0.68,0.29,0.08
24200,18.04,21.63,6.66,0.78,0.68,0.29,0.08
24300,17.51,20.81,6.44,0.78,0.68,0.29,0.08
24400,18.04,21.63,6.66,0.78,0.68,0.29,0.08
24500,19.10,23.31,7.11,0.78,0.68,0.29,0.08
24600,19.10,23.31,7.11,0.78,0.68,0.29,0.08
24700,18.04,21.63,6.66,0.78,0.68,0.29,0.08
24800,18.57,22.46,6.88,0.78,0.68,0.29,0.08
24900,18.57,22.46,6.88,0.78,0.68,0.29,0.08
25000,18.04,21.63,6.66,0.78,0.68,0.29,0.08
25100,18.04,21.63,6.66,0.78,0.68,0.29,0.08
25200,17.51,20.81,6.44,0.78,0.68,0.29,0.08
25300,18.57,22.46,6.88,0.78,0.68,0.29,0.08
25400,19.10,23.31,7.11,0.78,0.68,0.29,0.08
25500,18.04,21.63,6.66,0.78,0.68,0.29,0.08
25600,18.57,22.46,6.88,0.78,0.68,0.29,0.08
25700,18.57,22.46,6.88,0.78,0.68,0.29,0.08
25800,19.63,24.16,7.33,0.78,0.68,0.29,0.08
25900,18.04,21.63,6.66,0.78,0.68,0.29,0.08
26000,17.51,20.81,6.44,0.78,0.68,0.29,0.08
26100,17.51,20.81,6.44,0.78,0.68,0.29,0.08
26200,18.04,21.63,6.66,0.78,0.68,0.29,0.08
26300,19.10,23.31,7.11,0.78,0.68,0.29,0.08
26400,18.57,22.46,6.88,0.78,0.68,0.29,0.08
26500,18.04,21.63,6.66,0.78,0.68,0.29,0.08
26600,17.51,20.81,6.44,0.78,0.68,0.29,0.08
26700,18.04,21.63,6.66,0.78,0.68,0.29,0.08
26800,19.10,23.31,7.11,0.78,0.68,0.29,0.08
26900,19.10,23.31,7.11,0.78,0.68,0.29,0.08
27000,17.51,20.81,6.44,0.78,0.68,0.29,0.08
27100,18.04,21.63,6.66,0.78,0.68,0.29,0.08
27200,18.04,21.63,6.66,0.78,0.68,0.29,0.08
27300,18.57,22.46,6.88,0.78,0.68,0.29,0.08
27400,18.04,21.63,6.66,0.78,0.68,0.29,0.08
27500,18.04,21.63,6.66,0.78,0.68,0.29,0.08
27600,18.04,21.63,6.66,0.78,0.68,0.29,0.08
27700,17.51,20.81,6.44,0.78,0.68,0.29,0.08
27800,18.04,21.63,6.66,0.78,0.68,0.29,0.08
27900,18.04,21.63,6.66,0.78,0.68,0.29,0.08
28000,17.51,20.81,6.44,0.78,0.68,0.29,0.08
28100,18.04,21.63,6.66,0.78,0.68,0.29,0.08
28200,18.57,22.46,6.88,0.78,0.68,0.29,0.08
28300,17.51,20.81,6.44,0.78,0.68,0.29,0.08
28400,17.51,20.81,6.44,0.78,0.68,0.29,0.08
28500,18.04,21.63,6.66,0.78,0.68,0.29,0.08
28600,18.57,22.46,6.88,0.78,0.68,0.29,0.08
28700,18.57,22.46,6.88,0.78,0.68,0.29,0.08
28800,18.04,21.63,6.66,0.78,0.68,0.29,0.08
28900,19.10,23.31,7.11,0.78,0.68,0.29,0.08
29000,18.57,22.46,6.88,0.78,0.68,0.29,0.08
29100,19.10,23.31,7.11,0.78,0.68,0.29,0.08
29200,18.04,21.63,6.66,0.78,0.68,0.29,0.08
29300,18.04,21.63,6.66,0.78,0.68,0.29,0.08
29400,19.10,23.31,7.11,0.78,0.68,0.29,0.08
29500,17.51,20.81,6.44,0.78,0.68,0.29,0.08
29600,19.10,23.31,7.11,0.78,0.68,0.29,0.08
29700,18.57,22.46,6.88,0.78,0.68,0.29,0.08
29800,17.51,20.81,6.44,0.78,0.68,0.29,0.08
29900,17.51,20.81,6.44,0.78,0.68,0.29,0.08
30000,17.51,20.81,6.44,0.78,0.68,0.29,0.08
30100,17.51,20.81,6.44,0.78,0.68,0.29,0.08
30200,18.04,21.63,6.66,0.78,0.68,0.29,0.08
30300,17.51,20.81,6.44,0.78,0.68,0.29,0.08
30400,18.04,21.63,6.66,0.78,0.68,0.29,0.08
30500,19.10,23.31,7.11,0.78,0.68,0.29,0.08
30600,18.04,21.63,6.66,0.78,0.68,0.29,0.08
30700,16.99,20.00,6.23,0.78,0.68,0.29,0.08
30800,18.04,21.63,6.66,0.78,0.68,0.29,0.08
30900,19.63,24.16,7.33,0.78,0.68,0.29,0.08
31000,18.57,22.46,6.88,0.78,0.68,0.29,0.08
31100,17.51,20.81,6.44,0.78,0.68,0.29,0.08
31200,17.51,20.81,6.44,0.78,0.68,0.29,0.08
31300,18.04,21.63,6.66,0.78,0.68,0.29,0.08
31400,18.04,21.63,6.66,0.78,0.68,0.29,0.08
31500,16.47,19.21,6.01,0.78,0.68,0.29,0.08
31600,18.57,22.46,6.88,0.78,0.68,0.29,0.08
31700,19.10,23.31,7.11,0.78,0.68,0.29,0.08
31800,18.04,21.63,6.66,0.78,0.68,0.29,0.08
31900,17.51,20.81,6.44,0.78,0.68,0.29,0.08
32000,18.04,21.63,6.66,0.78,0.68,0.29,0.08
32100,17.51,20.81,6.44,0.78,0.68,0.29,0.08
32200,17.51,20.81,6.44,0.78,0.68,0.29,0.08
32300,18.57,22.46,6.88,0.78,0.68,0.28,0.08
32400,18.57,22.46,6.88,0.78,0.68,0.28,0.08
32500,18.04,21.63,6.66,0.78,0.68,0.28,0.08
32600,17.51,20.81,6.44,0.78,0.68,0.28,0.07
32700,17.51,20.81,6.44,0.78,0.68,0.28,0.07
32800,18.04,21.63,6.66,0.78,0.68,0.28,0.07
32900,17.51,20.81,6.44,0.77,0.68,0.28,0.07
33000,17.51,20.81,6.44,0.77,0.68,0.28,0.07
33100,17.51,20.81,6.44,0.77,0.68,0.28,0.07
33200,16.99,20.00,6.23,0.77,0.68,0.28,0.07
33300,16.99,20.00,6.23,0.77,0.68,0.28,0.07
33400,17.51,20.81,6.44,0.77,0.68,0.28,0.07
33500,18.04,21.63,6.66,0.77,0.68,0.28,0.07
33600,18.57,22.46,6.88,0.77,0.68,0.28,0.07
33700,18.04,21.63,6.66,0.77,0.68,0.28,0.07
33800,18.04,21.63,6.66,0.77,0.68,0.27,0.07
33900,18.04,21.63,6.66,0.77,0.68,0.27,0.07
34000,18.57,22.46,6.88,0.77,0.68,0.27,0.07
34100,16.99,20.00,6.23,0.77,0.68,0.27,0.07
34200,18.04,21.63,6.66,0.76,0.68,0.27,0.07
34300,16.99,20.00,6.23,0.76,0.68,0.27,0.07
34400,17.51,20.81,6.44,0.76,0.68,0.26,0.07
34500,18.04,21.63,6.66,0.76,0.68,0.26,0.07
34600,18.04,21.63,6.66,0.76,0.68,0.26,0.07
34700,16.99,20.00,6.23,0.76,0.68,0.26,0.07
34800,16.99,20.00,6.23,0.76,0.68,0.26,0.07
34900,17.51,20.81,6.44,0.76,0.68,0.26,0.07
35000,18.57,22.46,6.88,0.75,0.68,0.26,0.07
35100,18.57,22.46,6.88,0.75,0.67,0.25,0.06
35200,19.10,23.31,7.11,0.75,0.67,0.25,0.06
